projectRcn;projectID;projectAcronym;role;id;name;shortName;activityType;endOfParticipation;ecContribution;country;street;city;postCode;organizationUrl;vatNumber;contactForm;contactType;contactTitle;contactFirstNames;contactLastNames;contactFunction;contactTelephoneNumber;contactFaxNumber
209743;727583;GEOCOND;coordinator;999864846;UNIVERSITAT POLITECNICA DE VALENCIA;UPV;HES;false;580000;ES;CAMINO DE VERA SN EDIFICIO 3A;VALENCIA;46022;www.upv.es;ESQ4618002B;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999864846&projectId=727583&programId=31045243;;;;;;;
209743;727583;GEOCOND;participant;983886424;UBEG DR ERICH MANDS U MARC SAUER GBR;UBeG;PRC;false;348351,16;DE;REINBERGSTRASSE 2;WETZLAR;35580;;DE200814995;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=983886424&projectId=727583&programId=31045243;;;;;;;
209041;751866;MigSol;coordinator;999480338;KOZEP-EUROPAI EGYETEM;CEU;HES;false;134239,2;HU;NADOR UTCA 9;BUDAPEST;1051;www.ceu.hu;HU18118463;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999480338&projectId=751866&programId=31045243;;;;;;;
206851;731117;GEOTHERMICA;coordinator;969550406;ORKUSTOFNUN;Orkustofnun;OTH;false;59812,5;IS;GRENSASVEGUR 9;REYKJAVIK;108;www.os.is;IS02135;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=969550406&projectId=731117&programId=31045243;;;;;;;
206851;731117;GEOTHERMICA;participant;999510020;CENTRO PARA EL DESARROLLO TECNOLOGICO INDUSTRIAL.;CDTI;PUB;false;59812,5;ES;CALLE CID 4;MADRID;28001;www.cdti.es;ESQ2820010C;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999510020&projectId=731117&programId=31045243;;;;;;;
206851;731117;GEOTHERMICA;participant;999547268;RANNSOKNAMIDSTOD ISLANDS;RANNIS;PUB;false;589543,68;IS;BORGARTUNI 30;REYKJAVIK;105;http://www.rannis.is;;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999547268&projectId=731117&programId=31045243;;;;;;;
206851;731117;GEOTHERMICA;participant;999980470;FORSCHUNGSZENTRUM JULICH GMBH;FZJ;REC;false;1463494;DE;WILHELM JOHNEN STRASSE;JULICH;52428;www.fz-juelich.de;DE122624631;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999980470&projectId=731117&programId=31045243;;;;;;;
206851;731117;GEOTHERMICA;participant;972130024;Unitatea Executiva pentru Finantarea Invatamantului Superior, a Cercetarii, Dezvoltarii si Inovarii;UEFISCDI;REC;false;59812,5;RO;Mendeleev Street   21-25;Bucharest;10362;www.uefiscsu.ro, www.cncsis.ro;;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=972130024&projectId=731117&programId=31045243;;;;;;;
206851;731117;GEOTHERMICA;participant;952727405;FUNDO REGIONAL PARA A CIENCIA E TECNOLOGIA;FRCT;PUB;false;92811,18;PT;RUA DO MERCADO 21;PONTA DELGADA;9500 326;;PT512069794;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=952727405&projectId=731117&programId=31045243;;;;;;;
206851;731117;GEOTHERMICA;participant;999587135;TURKIYE BILIMSEL VE TEKNOLOJIK ARASTIRMA KURUMU;TUBITAK;REC;false;59812,5;TR;Ataturk Bulvari 221;ANKARA;6100;www.tubitak.gov.tr;TR1750003600;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999587135&projectId=731117&programId=31045243;;;;;;;
206851;731117;GEOTHERMICA;participant;999641358;MINISTERO DELL'ISTRUZIONE, DELL'UNIVERSITA' E DELLA RICERCA;MIUR;PUB;false;59812,5;IT;Via Michele Carcani 61;ROMA;153;www.istruzione.it;IT97429780584;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999641358&projectId=731117&programId=31045243;;;;;;;
206851;731117;GEOTHERMICA;participant;911508128;AGENCIA ESTATAL DE INVESTIGACION;AEI;PUB;false;187195,8;ES;TORRELAGUNA 58 BIS;MADRID;28071;;ESQ2802338J;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=911508128&projectId=731117&programId=31045243;;;;;;;
206851;731117;GEOTHERMICA;participant;972778178;MINISTERIE VAN ECONOMISCHE ZAKEN;RVO;PUB;false;3050747,37;NL;BEZUIDENHOUTSEWEG  73;The Hague;2595 AC;;;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=972778178&projectId=731117&programId=31045243;;;;;;;
206851;731117;GEOTHERMICA;participant;954020706;MINISTERIO DE ECONOMIA, INDUSTRIA Y COMPETITIVIDAD;MINECO;PUB;true;;ES;PASEO DE LA CASTELLANA 162;MADRID;28046;www.mineco.gob.es;;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=954020706&projectId=731117&programId=31045243;;;;;;;
206851;731117;GEOTHERMICA;participant;999963301;AGENCE DE L'ENVIRONNEMENT ET DE LA MAITRISE DE L'ENERGIE;ADEME;PUB;false;187770;FR;AVENUE DU GRESILLE 20;ANGERS CEDEX 01;49004;www.ademe.fr;;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999963301&projectId=731117&programId=31045243;;;;;;;
206851;731117;GEOTHERMICA;participant;996384874;MINISTERE DE LA TRANSITION ECOLOGIQUE ET SOLIDAIRE;MEEM;PUB;false;59812,5;FR;Grande Arche - Tour Sequoia;paris-la défense;92055;www.developpement-durable.gouv.fr/;;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=996384874&projectId=731117&programId=31045243;;;;;;;
206851;731117;GEOTHERMICA;participant;999575107;VLAAMSE GEWEST;VLAIO;PUB;false;188077,56;BE;AVENUE DU PORT 88;BRUSSEL;1000;;BE0316380841;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999575107&projectId=731117&programId=31045243;;;;;;;
206851;731117;GEOTHERMICA;participant;994605603;ENERGISTYRELSEN;EUDP;PUB;false;536439,09;DK;AMALIEGADE 44;KOBENHAVN K;1256;www.ens.dk;DK59778714;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=994605603&projectId=731117&programId=31045243;;;;;;;
206851;731117;GEOTHERMICA;participant;952242696;MINISTRSTVO ZA INFRASTRUKTURO;MzI;PUB;false;81246,99;SI;LANGUSOVA ULICA 4;LJUBLJANA;1000;www.mzip.gov.si;SI25967061;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=952242696&projectId=731117&programId=31045243;;;;;;;
206851;731117;GEOTHERMICA;participant;999439210;FEDERAL DEPARTMENT FOR ENVIRONMENT, TRANSPORT, ENERGY AND COMMUNICATIONS;DETEC;PUB;false;;CH;Bundeshaus Nord;BERN;3003;www.uvek.admin.ch;;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999439210&projectId=731117&programId=31045243;;;;;;;
206851;731117;GEOTHERMICA;participant;996559280;COMMUNICATIONS, CLIMATE ACTION AND ENVIRONMENT;GSI;PUB;false;224650,14;IE;Adelaide Road  29-31;Dublin;D02 X285;http://www.dcenr.gov.ie;IE4002073W;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=996559280&projectId=731117&programId=31045243;;;;;;;
206851;731117;GEOTHERMICA;participant;951676022;DIRECAO-GERAL DE ENERGIA E GEOLOGIA;DGEG;PUB;false;59812,5;PT;Av 5 de Outubro 208;LISBOA;1069-203 LISBOA;;PO600076610;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=951676022&projectId=731117&programId=31045243;;;;;;;
205811;727069;ISOTIS;participant;999572294;UNIWERSYTET WARSZAWSKI;UNIWARSAW;HES;false;118426,25;PL;KRAKOWSKIE PRZEDMIESCIE 26/28;WARSZAWA;00 927;www.uw.edu.pl;PL5250011266;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999572294&projectId=727069&programId=31045243;;;;;;;
205811;727069;ISOTIS;participant;999880657;Masarykova univerzita;MU;HES;false;185500;CZ;Zerotinovo namesti 9;BRNO STRED;60177;http://www.muni.cz;CZ00216224;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999880657&projectId=727069&programId=31045243;;;;;;;
205811;727069;ISOTIS;participant;921767430;UNIVERSITETET I SOROST-NORGE;USN;HES;false;312645;NO;KJOLNES RING 56;PORSGRUNN;3918;www.usn.no;NO911770709MVA;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=921767430&projectId=727069&programId=31045243;;;;;;;
205811;727069;ISOTIS;participant;999845446;THE PROVOST, FELLOWS, FOUNDATION SCHOLARS & THE OTHER MEMBERS OF BOARD OF THE COLLEGE OF THE HOLY & UNDIVIDED TRINITY OF QUEEN ELIZABETH NEAR DUBLIN;TCD;HES;false;221800;IE;College Green;DUBLIN;2;www.tcd.ie;IE2200007U;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999845446&projectId=727069&programId=31045243;;;;;;;
