rcn;id;acronym;status;programme;topics;frameworkProgramme;title;startDate;endDate;projectUrl;objective;totalCost;ecMaxContribution;call;fundingScheme;coordinator;coordinatorCountry;participants;participantCountries;subjects
229208;869429;HUB-IN;SIGNED;H2020-EU.3.5.6.;SC5-20-2019;H2020;"Hubs of Innovation and Entrepreneurship for the Transformation of Historic Urban Areas";2020-09-01;2024-08-31;;"Hubs of Innovation and Entrepreneurship for the Transformation of Historic Urban Areas
HUB-IN aims to foster innovation and entrepreneurship in Historic Urban Areas (HUA), while preserving the unique identity of the historic sites regarding their natural, cultural and social values. HUB-IN adopts the innovation and entrepreneurship as the main drivers of urban regeneration in HUAs and it´s fully aligned with the International agendas for Cultural Sustainable Development (UNESCO) and Cultural Heritage Strategy (Council Europe).
HUB-IN will have two main stages. In the first stage, a network of Hubs of innovation and entrepreneurship (Hubs) will be developed in the HUAs of eight city partners and in the second stage, the resulting methods and tools will be upscaled to a global network of HUAs of follower cities. 
The Hubs of Innovation and Entrepreneurship (Hubs) will test, demonstrate and pilot activities of co-creation and co-design in three meaningful clusters with potential for sustainable transformation of HUA: i) Cultural and creative industries, ii) New lifestyles and iii) Endogenous Natural & Social Resources.
HUB-IN defines 12 specific goals, that will be achieved by the following methodology: i) Building an ecosystem of interconnected Hubs to accelerate urban regeneration in  eight HUAs, ii) Creating value in pilot Hubs, piloting social innovation and accelerating sustainable entrepreneurship in HUAs, iii) Packaging, upscaling and exploiting the results and create collaborative global network of Hubs of innovation and entrepreneurship in HUA, iv) Creating the HUB-IN digital space.
HUB-IN expect to contribute to reverse trends of abandonment and neglect of historic heritage in a systemic way through the creation of networks of Hubs where innovation will be the main driver. HUB-IN will also have a direct impact on the creation of new sustainable opportunities for local traditional businesses and for the development of new creative skills and jobs.";8135105,12;7998797,5;H2020-SC5-2019-2;IA;"LISBOA E-NOVA - AGENCIA DE ENERGIA E AMBIENTE DE LISBOA";PT;"COMUNE DI GENOVA;GEMEENTE UTRECHT;FUTURE CITIES CATAPULT LIMITED;ENERGY CITIES/ENERGIE-CITES ASSOCIATION;INFRASTRUTTURE RECUPERO ENERGIA AGENZIA REGIONALE LIGURE - I.R.E. SPA;AGENTIA PENTRU MANAGEMENTUL ENERGIEI SI PROTECTIA MEDIULUI BRASOV;GRAND ANGOULEME;EUROPEAN ASSOCIATION OF HISTORIC TOWNS AND REGIONS LIMITED;UNIVERSIDADE NOVA DE LISBOA;ENERGEIAKO GRAFEIO KYPRION POLITON;MESTNA OBCINA PTUJ;E-ZAVOD, ZAVOD ZA PROJEKTNO SVETOVANJE, RAZISKOVANJE IN RAZVOJ CELOVITIH RESITEV;Belfast City Council;CROWDFUNDINGHUB BV;UNIVERSITEIT UTRECHT;CAMARA MUNICIPAL DE LISBOA;LEFKOSIA MUNICIPALITY";"IT;NL;UK;FR;RO;PT;CY;SI";
229256;892584;TransIT;SIGNED;H2020-EU.1.3.2.;MSCA-IF-2019;H2020;"Many Diasporas from One Transnational Italy";2021-01-01;2022-12-31;;"TransIT is inspired by the necessity of promoting a more open and complex perception of Italian culture in the context of higher education. It aims to broaden the conception of Italianness by investigating a series of cultural texts that can be included within a comprehensive definition of ‘Italian culture’, once this is extended to its migratory and diasporic manifestations. Since Italy’s unification, migration has affected a significant part of the population, who started leaving the country in search of better living conditions. Excluding from the study of Italian culture texts produced in the context of Italian migrations, whether written in Italian or not, thus implies the exclusion of a significant part of this culture. On these premises, TransIT draws upon multidisciplinary resources – literature, film, television, newspapers and magazines, sociological surveys and historical documents – and adopts an interdisciplinary approach to examining the evolution of Italian culture outside of Italy, with a specific focus on the experiences included within the Italophone and Anglophone worlds.  In looking at race- and gender-specific cultural witnesses, it seeks to redress the mainstream interpretation of Italian culture.
Engaging with universities in the United Kingdom and the United States, the project responds to the demand for revised and updated methods and materials for teaching Italian culture in transnational perspective. TransIT offers a novel set of teaching resources, moving beyond the conventional textbook and promoting an innovative and multi-layered methodology which encourages a dynamic approach to textual analysis. An interactive, bilingual online multimedia anthology of creative texts constitutes its principal outcome. Its bilingual nature makes much of this material available for the first time to those who can only read Italian or English.";189099,84;189099,84;H2020-MSCA-IF-2019;MSCA-IF-GF;"CARDIFF UNIVERSITY";UK;;;
229205;869383;ECOTIP;SIGNED;H2020-EU.3.5.1.;LC-CLA-07-2019;H2020;"Arctic biodiversity change and its consequences: Assessing, monitoring and predicting the effects of ecosystem tipping cascades on marine ecosystem services and dependent human systems";2020-06-01;2024-05-31;;"The Arctic marine environment is under rapid change, both in its physical and biotic conditions. The gradual loss of sea ice, increase in temperature, invasive species and compounding effects of additional ecosystem stressors are identified as likely causes of the observed turnover of Arctic species. Other issues of concern are the climatic tipping elements that are known to have affected the region in the geologic past, and that could well affect the region in the future, precipitating a regime shift of unprecedented magnitude. Predicting these changes in the Arctic ecosystem is hindered by several knowledge gaps, particularly in terms of mechanistic understanding of the coupling between drivers and responses.  At stake are two important marine ecosystem services that human societies rely on; carbon sequestration with its feedback to global climate, and fisheries production that is the economic lifeblood of many of the local societies of the Arctic. ECOTIP will map out past and present Arctic biodiversity and its response to external drivers, and the effects of expanding commercial activities in the Arctic under expected climate change. It will investigate the resistance, resilience and persistence of key ecosystem components to multiple anthropogenic stressors, and estimate their potential tipping dynamics. It will use a  trait-based approach in process studies, empirical analysis and numerical models as a novel means of quantifying functional diversity to predict how different anthropogenic forcing scenarios (including climate, invasive species, pollution, exploitation) change biodiversity, productivity and ecosystem services. ECOTIP will engage with indigenous societies and European citizens to provide recommendations for optimizing the monitoring of Arctic biodiversity and ecosystem services, identify adaptation strategies, promote international collaboration and support Europe's endeavors to implement the Paris Agreement and Sustainable Development Goals.";6361535,75;6361535,75;H2020-LC-CLA-2019-2;RIA;"DANMARKS TEKNISKE UNIVERSITET";DK;"UNIVERSITETET I TROMSOE - NORGES ARKTISKE UNIVERSITET;AARHUS UNIVERSITET;NATIONAL UNIVERSITY CORPORATION THEUNIVERSITY OF TOKYO;UNIVERSITAT WIEN;HAFRANNSOKNASTOFNUN, RANNSOKNA- OG RADGJAFARSTOFNUN HAFS OG VATNA;STIFTELSEN GRID ARENDAL;KOBENHAVNS UNIVERSITET;HELMHOLTZ-ZENTRUM GEESTHACHT ZENTRUM FUR MATERIAL- UND KUSTENFORSCHUNG GMBH;KOKURITSU DAIGAKU HOJIN HOKKAIDO DAIGAKU;THE UNIVERSITY OF STIRLING;INSTYTUT OCEANOLOGII POLSKIEJ AKADEMII NAUK;GRONLANDS NATURINSTITUT;ABO AKADEMI;AALBORG UNIVERSITET";"NO;DK;JP;AT;IS;DE;UK;PL;GL;FI";
229225;884778;ImpulsiveFlows;SIGNED;H2020-EU.1.1.;ERC-2019-ADG;H2020;"Impulsive Flows - beyond velocity and acceleration";2020-12-01;2025-11-30;;"My goal is to investigate impulsive flows that occur both in nature and technological applications, where fluid is accelerated due to sudden motion of an object or boundary, which leads to an additional instationary drag or lift forces. This project will shed new light on the understanding of the fundamental properties and flow physics of these impulsive flows. Theoretical concepts that are used today, do not go much beyond those laid down almost 100 years ago. With today’s level of technology and experimental tools I will be able to break new ground in the understanding of these flow phenomena that are very challenging both experimentally and numerically. First, a novel-concept flow facility will be built, based on a high performance robotic arm; this robot arm can move and rotate various objects in a water-filled tank along prescribed trajectories with known acceleration and rotation. The fluid motion is measured using tomographic particle image velocimetry (PIV), of which the measurement volume can move along with the objects using auxiliary robot arms. New PIV approaches will be developed that measure fluid acceleration varied within the short times of these impulsive motions. Then a systematic investigation is performed on various impulsive flows where the rate of acceleration and rotation rate can be varied, in order to find new
and improved relationships between the measured hydrodynamic force histories and relevant flow quantities, such as velocity, acceleration, and rotation rate, and the time scales at which these phenomena occur. These will represent real-life impulsive flows. Experimental approaches and results will be used to validate numerical methods. The results of this investigation will fill gaps in our knowledge of impulsive flows, and give more accurate estimates of hydrodynamic forces. This will improve the prediction of structural loads and reduce failure and discomfort, with impact on aeronautics, wind energy, maritime and offshore technology.";2499567,5;2499567,5;ERC-2019-ADG;ERC-ADG;"TECHNISCHE UNIVERSITEIT DELFT";NL;;;
229241;885632;FLEXINGPLEXIN;SIGNED;H2020-EU.1.1.;ERC-2019-ADG;H2020;"A structure-function analysis to discover how receptor conformations and interactions determine semaphorin-neuropilin-plexin signalling outputs.";2020-09-01;2025-08-31;;"During the development of a multicellular organism cell guidance proteins interact with their cognate cell surface receptors to guide cells to their correct location. Such functions continue to be essential in the adult to maintain tissue homeostasis. Semaphorins use plexins as their main receptors for signalling and the semaphorin and plexin families together constitute one of the largest and functionally diverse of the cell guidance systems in vertebrates. We have gained some insight into the architecture and interactions which trigger semaphorin-plexin signalling, but fundamental questions remain and some of the most puzzling, and of potential clinical importance, concern the mechanisms of action of the secreted class 3 semaphorins (Sema3s), and their (co-)receptors. Neuropilin co-receptors play pivotal roles for Sema3 function and have been implicated in context dependent switching of cell guidance signalling outputs. There is an urgent need for information on molecular mechanism to underpin the design and interpretation of studies into biological function and clinical pathology. To advance the field we will combine structural biology and cellular imaging based approaches with functional studies (in house and in collaboration).

The research plan is sub-divided into three inter-related sections that aim to discover:
1. The structural determinants and mechanisms of action by which class 3 semaphorins exert differing effects on signalling.
2. The conformational state of the plexin ectodomain in different contexts and its contribution to signal outcome.
3. The mechanisms by which neuropilin binding can switch the outcomes of plexin signalling.

Molecular level answers to the questions posed by semaphorin-neuropilin-plexin signalling will take us beyond the current state of the art, and impact on diverse disciplines, for example cellular immunology and developmental biology, as well as guiding the design of novel therapeutic agents.";2083825;2083825;ERC-2019-ADG;ERC-ADG;"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD";UK;;;
229253;886416;ELIOT;SIGNED;H2020-EU.3.4.5.4.;JTI-CS2-2019-CFP10-AIR-03-07;H2020;"End of Life (EoL) for biomaterials";2020-07-01;2023-02-28;;"ELIOT aims to provide new innovative and green technologies for EoL of commonly used natural fibres and biobased resins with increased resource efficiency and fully align these biomaterials with the circular economy principles (Figure 1). To this end, the project will propose and develop innovative solutions for the EoL of the new generation of biocomposites by: (1) reviewing the current treatment technologies for conventional FRP composite waste; (2) evaluating their potential suitability to be applied to the biocomposite waste and selecting those treatment alternatives that appear as the most feasible; (4) tailoring the selected treatment technologies to the characteristics of biocomposites and testing them at laboratory scale; and (5) demonstrating their technical feasibility and life-cycle sustainability under pre-industrial scale. 

Different EoL approaches will be evaluated, including mechanical, thermal, chemical and biological methods for waste recovery and recycling. A comparison of the advantages and disadvantages of the EoL methods in terms of cost and environmental sustainability will be conducted.

ELIOT will set the basis for a wider uptake of biocomposite materials in the aircraft industry (and other industrial sectors using composite materials) by providing cost-effective methods for their EoL treatment. Main technical objective to be achieved by the consortium in this project is the full-scale demonstration of the most promising EoL methods for biocomposite waste. Full-scale demonstration will be provided for at least 2 EoL methods for 2 target biocomposites, respectively, including their technical validation at pre-industrial scale and their validation in terms ng, flooring and sidewall panels in cabin interiors) leads to net environmental benefits and cost savings throughout their whole life cycle; i.e., not only during production and use of the materials but also by means of sustainable EoL alternatives suitable to close the loop of biomaterials.";349697,5;349697,5;H2020-CS2-CFP10-2019-01;CS2-RIA;"AIMPLAS - ASOCIACION DE INVESTIGACION DE MATERIALES PLASTICOS Y CONEXAS";ES;"NEDERLANDSE ORGANISATIE VOOR TOEGEPAST NATUURWETENSCHAPPELIJK ONDERZOEK TNO";NL;
229293;899770;MOBILISE;SIGNED;H2020-EU.1.1.;ERC-2019-POC;H2020;"Monoamine oxidase B inhibitors as novel drugs targeting NLRP3 inflammasome";2020-09-01;2022-02-28;;"Although the number of anti-inflammatory drugs has increased during the past decade, there is still an urgent need to develop novel alternatives that overcome limitations of current treatments. The most used therapies, such as non-steroidal anti-inflammatory drugs, non-analgesic anti-inflammatory drugs or colchicine, often present severe side-effects. In addition, in recent years biologicals have appeared, but they are extremely expensive. Therefore, novel therapeutic approaches with lower toxicity, higher tolerance and lower price must be developed to treat autoinflammatory and autoimmune diseases. Since the NLRP3 inflammasome is a key contributor of inflammatory diseases (including gout, pseudogout, metabolic arthropathies and multiple sclerosis), its targeting has become very relevant for the development of novel therapeutics. As part of our ERC project STePS, we discovered a novel activation pathway to the NLRP3 inflammasome, which opens new opportunities to use an existing line of compounds for radically new medical indications. Within STePS, we uncovered the activation of the NLRP3 inflammasome by the enzyme Monoamine Oxidase B (MAO-B) through ROS production, positioning MAO-B as a promising target to treat autoinflammatory and autoimmune diseases. Given that there are several MAO-B inhibitors (iMAO-B) currently used in the clinic for treatment against Parkinson disease, the use of iMAO-B represent a major opportunity to develop new therapies at low risk and a fraction of the cost. This ERC PoC MOBILISE will assess the technical and commercial feasibility of repositioning iMAO-B as a novel treatment of gout and other NLRP3 inflammasome-driven diseases. Within MOBILISE, we aim to explore the efficacy in vivo of iMAO-B, solidify our IP protection, perform an extensive market and competitor analysis and develop a detail business plan to define the optimal commercialisation route for MAO-B inhibitors in gout and other autoinflammatory diseases.";;150000;ERC-2019-PoC;ERC-POC-LS;"UNIVERSITA DEGLI STUDI DI PADOVA";IT;;;
229291;898354;RaSeCoL;SIGNED;H2020-EU.1.3.2.;MSCA-IF-2019;H2020;"RaSeCoL: Radar Sensing, Communication, and Learning for Next Generation Wireless Networks";2021-04-01;2023-03-31;;"The increasing demand for bandwidth hungry applications in modern communication networks has led to the proliferation of radar and communication systems in integrated radar-sensing and communication networks in order to improve the effectiveness of the limited spectral resources. However, it turns out that, much more benefits could be harvested regarding both the sensing and communication services through such integration between the two systems. The overarching goal of the radar sensing, communication, and learning (RaSeCoL) project is to design, analyze and validate innovative dual functional radar sensing and communication networks, to achieve improved communication quality, spectrum efficiency, and energy efficiency for the communication service while achieving accurate estimation for the sensing parameters for the sensing service through learning from the environment and massive data collected from such integrated networks. 

The project will introduce an integrated network architecture enabling both radar sensing and communication capabilities by implementing devices that act as both radar sensor and communication base station. Novel transceiver algorithms and signal coordination procedures will be conceived, and new sensing parameters estimation approaches from the complex combined sensing-communication signals will be targeted taking into consideration different modulation and multiple access schemes. 

The project will be carried out by the Experienced Researcher (ER) at the University of Cassino and Lazio Meridionale (Italy), under the supervision of Prof. Stefano Buzzi. Furthermore, Huawei Mathematical and Algorithmic Research Center in Paris (France) will host the ER for a six-months secondment. The applying ER is Dr. Mohamed Elmeligy, currently a post-doctoral researcher at the college of information engineering, Shenzhen University, China.";183473,28;183473,28;H2020-MSCA-IF-2019;MSCA-IF-EF-ST;"UNIVERSITA DEGLI STUDI DI CASSINO E DEL LAZIO MERIDIONALE";IT;;;
229244;891535;InterPlay;SIGNED;H2020-EU.1.3.2.;MSCA-IF-2019;H2020;"A Part to Play: How Caregivers Shape Infants' Visual Exploration and Alter Their Neural Mechanisms of Attention";2020-07-01;2022-06-30;;"Infants learn and develop at incredible speed. Although relatively helpless at birth, infants undergo significant development in the first year of life in many domains. But how do infants learn so quickly? They likely gather information that is optimal for learning by systematically allocating their visual attention to specific types of stimuli. Allocation of visual attention can be (1) intrinsically driven to guide their explorations in the world, or (2) guided by other social agents. Moreover, infants’ intrinsic visual exploration may be dependent on the “hardware”: the brain. This project aims to develop a comprehensive account of how these mechanisms interact in full-term and pre-term infants. Visual exploration and attention is often disrupted in pre-term infants, which may contribute to developmental delays. Since the World Health Organization estimates that 15 million infants are born pre-term annually, it is crucial to investigate how infants visually explore their environment and how this can be promoted through social interactions. Research into infants’ visual attention has been conducted by scientists from various fields, but few attempts have been made to integrate these findings into a comprehensive framework. As such, the interplay between these factors remains unknown. This lack of integration causes severe gaps in our theoretical understanding, hindering the development of healthcare policies and interventions. InterPlay addresses these knowledge gaps by integrating previous observations into a comprehensive, longitudinal study. The findings will have implications for current scientific and therapeutic practices. If caregiver attention-guiding behaviours could compensate disruptions in pre-term infants’ visual exploration, this would offer great potential for interventions early in life. Furthermore, infants’ brain connectivity may provide a unique predictor for the necessity of intervention, allowing healthcare providers to act in a timely manner.";184590,72;184590,72;H2020-MSCA-IF-2019;MSCA-IF-EF-ST;"THE PROVOST, FELLOWS, FOUNDATION SCHOLARS & THE OTHER MEMBERS OF BOARD OF THE COLLEGE OF THE HOLY & UNDIVIDED TRINITY OF QUEEN ELIZABETH NEAR DUBLIN";IE;;;
229223;879956;"ALPS INN3";SIGNED;H2020-EU.2.3.2.2.;H2020-EEN-SGA4;H2020;"EEN Innovation Support Services for SMEs in North West Italy";2020-01-01;2021-12-31;;"The project, whose geographical coverage will be North-West Italy (3 regions : Piemonte Liguria and Valle d’Aosta) aims at
providing and upgrading a specific framework service for supporting SMEs in the innovation management capacity . The
service will be directed to SMEs with international growth potential via product, process service and or business model
innovation- with gaps regarding innovation management.
In particular, the action will focus on the following specific objectives:
1. Fine tuning of a Key Account Management based customised service provision directed to:
a. SMEs /Scale ups international growth, including participation to European programs
b. SMEs Innovation capacity enhancement and innovation projects implementation, job creation and new market access
c. SMEs Innovation results exploitation
4. Integration of the service within local business innovation support delivered, EEN specific service official embedding
within the regional innovation ecosystem
5. Advisory skill enhancement: ALPS EEN personnel, assisting the experts in this Action, will increase expertise and competences, providing high level advisory on innovation management 
6. Upgrading a EU shared support methodology for EEN staff, which could be adopted for profitably supporting other local SMEs
7. Contribution to the enhancement of a visible and well identified Coach/EEN experts community at EU level
8. Updating the operational internal manual/chart for a harmonized service within the EEN ALPS Consortium and contribution to definition of a common EEN operational manual";267912,5;267912;H2020-EEN-SGA4-2020-2021;H2020-EEN-SGA;"CAMERA DI COMMERCIO INDUSTRIA ARTIGIANATO AGRICOLTURA DI TORINO";IT;"CAMERA DI COMMERCIO INDUSTRIA ARTIGIANATO E AGRICOLTURA DI GENOVA;UNIONCAMERE PIEMONTE;AZIENDA SPECIALE RIVIERE DI LIGURIA;REGIONE LIGURIA;CONFINDUSTRIA PIEMONTE;FONDAZIONE TORINO WIRELESS;BLUE HUB, AZIENDA SPECIALE DELLA CAMERA DI COMMERCIO INDUSTRIA ARTIGIANATO E AGRICOLTURA RIVIERE DI LIGURIA - IMPERIAL LA SPEZIA SAVONA";IT;
229300;101003375;TEOsINTE;SIGNED;H2020-EU.4.;WF-02-2019;H2020;"Thermoelectric oxide composites: design through controlled interactions.";2020-10-01;2022-09-30;;"Thermoelectric (TE) materials can convert temperature differences directly into electricity and are nowadays considered as one of the most promising means to produce “green” electricity from the huge amount of various available waste heat sources. TE conversion is
intrinsically simple, scalable and reliable, employs no moving parts and provides silent operation and self-sufficiency. Particular attention is given to transition metal oxides (TMOs), due to their low toxicity, natural abundance, thermal stability and well-established preparation routs, in contrast with traditional Pb-, Sb-, Bi- and Te-containing TE materials. Still, one of the TMOs major drawbacks are their low TE performances. This project intends to design, synthesize and test novel ceramic composite materials with improved TE performances, based on some of the best-performing TMOs to date, Ca3Co4O9, ZnO and CaMnO3 (matrices) and a set of transition metal and Ce oxides (dispersers), suited for practical high-temperature power generation applications. The originality of this project is simple and straightforward: Controlling the atomic interactions between the various oxide components will improve the charge carrier mobility and create additional interfaces at the grain boundaries, capable of scattering phonons more efficiently. The R&D work is based on the combined analysis of TE, morphological and structural properties of the matrix materials and prepared composites, with the final purpose of developing completely new materials having better TE properties than those of the inicial components, and testing them in and designing them for practical high-temperature power generation applications, in real working conditions. This project also focuses to establish the experienced researcher as a successful independent scientist, having more, diversified competences in and deeper understanding of functional electroceramics, capable also to establish fruitful collaborations and to attract funding.";147815,04;147815,04;H2020-WF-02-2019;MSCA-IF-EF-ST;"UNIVERSIDADE DE AVEIRO";PT;;;
229286;898029;IATIO;SIGNED;H2020-EU.1.3.2.;MSCA-IF-2019;H2020;"India and the Indian Ocean in the Early Decolonial Period: Archipelagic Imaginaries, 1950s-1970s";2021-01-01;2023-12-31;;"The project IATIO mobilises the concept of ‘archipelagic imaginaries’ to examine Indian intellectual and literary cosmopolitanism in the Indian Ocean during the 1950s-1970s. The research shifts focus from teleological readings of Indian Ocean history and territorial perspective on postcolonial Indian culture, to a renewed investment in archipelagic theory and geocritical approaches. The temporal framework of the project ranges from around the time of the post-World War II decolonisation to the late 1970s, a period of far-reaching political, cultural and economic change for the entire Indian Ocean region. The project aims to advance a non-territorial epistemological framework for theorising postcolonial India through an investigation of the conceptual, imaginative and material Indian Ocean geographies inhabited by Indian intellectuals, writers and other cosmopolitan voices. It will do so by employing an interdisciplinary methodology that combines tools and insights from history, literary criticism and cultural studies, to engage in close reading of intellectual journals and the popular press, works of fiction, and selected case studies of material Indian Ocean sites of cosmopolitan encounters. The fellowship will be based at two leading academic institutions, King’s College London (UK) and the University of the Witwatersrand (ZA), and will take the researcher to further Asian and African countries for archival research. It will enhance the profile and the innovative potential of the researcher, strengthening his competence in interdisciplinary methods in the humanities and social sciences through personalised training, and providing the opportunity to develop a solid and internationally competitive track record. The project will also create a substantial institutional link between KCL and Wits, with KCL emerging as a UK hub in the global academic Indian Ocean studies network.";233163,84;233163,84;H2020-MSCA-IF-2019;MSCA-IF-GF;"KING'S COLLEGE LONDON";UK;;;
229217;875613;HIGREEW;SIGNED;H2020-EU.3.3.4.;LC-BAT-4-2019;H2020;"Affordable High-Performance Green Redox Flow Batteries";2019-11-01;2023-02-28;;"The objective of HIGREEW (Affordable High-performance Green REdox floW batteries) is to design, develop and validate and an advanced redox flow battery, based on new water-soluble low-cost organic electrolyte compatible with optimized low resistance membrane and fast electrodes kinetics for a high energy density and long-life service. The battery prototype engineering design will be twofold: affordable balance of plant to optimize performance through advanced control strategy to achieve an LCOS of < 0.10€/kWh/cycle at the end of the project and 0.05€/kWh/cycle by 2030 and designed for recycling, to maximize the recycling of the components.
The consortium is formed by 9 partners coordinated by CIC Energigune, Spanish research centre, that will be the focus on electrolyte and algorithm development to maximise the batteries life span and minimise its LCOS. The development of advanced materials will be complemented with the University Autonomous of Madrid to improve membranes performance and the French CNRS research centre to optimize the electrode. The 3 key components will be tested and validated at lab scale and cell level with the collaboration of the University of West Bohemia (CZ). The stack engineering will be developed by C-TECH, UK’s SME specialised in electrochemical and electro-heating process equipment, that will work together with Pinflow to optimize active components at laboratory scale and battery stack design. The system design and scale up to manufacture a battery prototype of 5Kw will be done in collaboration between Heights, UK’s engineering, and Gamesa Electric, Spanish large industry leader in renewables. The battery prototype will be tested and validated in the pilot plant of Siemens Gamesa -third party linked to Gamesa- located in Spain. The testing and validation will be the focus on safety-hazards, LCA and LCOS. The exploitation strategy will be led by Uniresearch, who are highly experienced in EU projects. The project will last 40M with a cost of 3,7M€.";3786747,5;3786747,5;H2020-LC-BAT-2019;RIA;"CENTRO DE INVESTIGACION COOPERATIVA DE ENERGIAS ALTERNATIVAS FUNDACION, CIC ENERGIGUNE FUNDAZIOA";ES;"PINFLOW ENERGY STORAGE, S.R.O.;UNIRESEARCH BV;HEIGHTS (UK) LIMITED;UNIVERSIDAD AUTONOMA DE MADRID;ZAPADOCESKA UNIVERZITA V PLZNI;C-TECH INNOVATION LIMITED;CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS;GAMESA ELECTRIC SOCIEDAD ANONIMA";"CZ;NL;UK;ES;FR";
229268;892499;eEaaS;SIGNED;"H2020-EU.3.3.7.;H2020-EU.3.3.1.";LC-SC3-EE-9-2018-2019;H2020;"Innovative Financing for Servitisation and Capitalization of Energy Efficiency Solutions for SMEs Efficient Equipment as a Service";2020-06-01;2023-05-31;;"'The Efficient Equipment as a Service (eEaaS) program aims to develop and deploy new business models and a financial structure to enable the transition and facilitate the market adoption of energy efficient equiment-as-a-service in SMEs.  The consortium participants (BASE, AGORIA, ANESE, Innoenergy) have been exploring and implementing eEaaS, focusing on financial, fiscal and legal challenges and solutions. They build on present frontrunner experience, attempt to solve barriers, ranging from asset value to shareholder and financial 3rd party management. Their unique expertise on financing, ESCOs, business needs when transitioning from selling products to selling services will enable investments roundtables and building pipeline of projects.   eEaaS has two main components: a) mainstream the EE servitisation financial model to facilitate the access of SME to smart, high-energy efficient technologies and b) standardise a financing structure (for example 'sale-leaseback' model). Past experience has indeed shown that a potential bottleneck for this type of models is the lack of liquidity, financial capacity or capacity to access competitive financing for the providers under conditions that do not hurdle the potential pipeline of servitisation projects. eEaaS model aims to overcome the barriers that have inhibited SMEs from investing in EE solutions as they compete with investment opportunities related to their core business, which are better understood by SMEs in terms of risks and rewards. Servitisation supports SME competitivity by using smart technologies for energy use measuring, supporting the digital economy. In addition it supports a circular economy approach by incentivising technology providers to make their equipment modular, with parts being reusable/recyclable since the ownership of the equipment is never transferred to the client.'";1625531,25;1625530;H2020-LC-SC3-EE-2019;CSA;"STIFTUNG BASE (BASEL AGENCY FOR SUSTAINABLE ENERGY)";CH;"KIC INNOENERGY SE;ASOCIACION NACIONAL DE EMPRESAS DE SERVICIOS ENERGETICOS ANESE;AGORIA ASBL";"NL;ES;BE";
229302;101003442;FIXEDTARGETLAND;SIGNED;H2020-EU.4.;WF-02-2019;H2020;"The ALICE fixed-target programme layout using bent crystals at the CERN Large Hadron Collider.";2020-09-01;2022-08-31;;"ALICE in the FixedTargetLand.

The LHC at CERN is the world largest and most powerful particle accelerator colliding beams of protons and lead ions. ALICE is one of detector experiments optimised for heavy-ions. A research potential of the CERN accelerator complex and infrastructure can be expanded by deflecting the LHC beam halo particles by means of bent crystals on a fixed-target placed inside the ALICE experiment. A fixed-target experiment at such a high energy offers many physics opportunities related to the the parton content of the nucleon and nucleus at high-x, the nucleon spin and the Quark-Gluon Plasma. Feasibility of beam halo deflection using crystal channeling has been experimentally demonstrated at CERN, for both proton and lead ion beams. There are two main objectives of the proposal. The first objective is to assess the feasibility and performance of the ALICE crystal-based fixed-target programme layout from the accelerator complex side, e.g. compatibility with the collimation, impact on vacuum, impedance, etc. The second objective is to calculate particles production within the target and response of the ALICE detector in order to evaluate the physics potential of the project.
Accelerator and crystal parameters will be determined based on semi-analytical tools followed up by complete multi-turn tracking simulations using the SixTrack and BDSIM codes. The detector response and physics reach will be evaluated in collaboration with the ALICE experts, mostly from the Warsaw University of Technology (WUT). The proposal assumes a transfer of applicant's knowledge and experience obtained at CERN related to particle accelerators, collimation and crystals to an interdisciplinary project. In return, WUT is a partner providing the necessary expertise on particle physics and the ALICE detector. Moreover, WUT opens a possibility of a personal growth through teaching students, knowledge exchange and building a network for establishing an own research group.";149625,6;149625,6;H2020-WF-02-2019;MSCA-IF-EF-ST;"POLITECHNIKA WARSZAWSKA";PL;;;
229295;951492;MathInParis;SIGNED;H2020-EU.1.3.;IBA-MSCA-SNLS-2019;H2020;"International Doctoral Training in Mathematical Sciences in Paris";2019-12-01;2022-10-31;;"Request for financial support to cover the additional costs that research/staff members with disabilities face due to the increased costs of their mobility and/or to ensure necessary assistance by third persons or to adapt their work environment.";;15000;H2020-IBA-MSCA-SNLS-2019;MSCA-SNLS;"FONDATION SCIENCES MATHEMATIQUES DE PARIS";FR;;;
